rname,totallength,reference
NC_026423.1,2297,"Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds"
NC_026424.1,2176,"Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds"
NC_026426.1,1506,"Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 5 nucleocapsid protein (NP) gene, complete cds"
NC_026427.1,985,"Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
NC_026428.1,841,"Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds"
NC_007359.1,2233,"Influenza A virus (A/goose/Guangdong/1/1996(H5N1)) polymerase (PA) and PA-X protein (PA-X) genes, complete cds"
NC_007358.1,2341,"Influenza A virus (A/goose/Guangdong/1/1996(H5N1)) polymerase (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds"
NC_007363.1,1027,"Influenza A virus (A/goose/Guangdong/1/1996(H5N1)) segment 7, complete sequence"
NC_007364.1,865,"Influenza A virus (A/goose/Guangdong/1/1996(H5N1)) segment 8, complete sequence"
NC_004912.1,2225,"Influenza A virus pa gene for polymerase PA, genomic RNA, strain A/Hong Kong/1073/99(H9N2)"
NC_004911.1,2328,"Influenza A virus pb1 gene for polymerase Pb1, genomic RNA, strain A/Hong Kong/1073/99(H9N2)"
NC_004910.1,2341,"Influenza A virus pb2 gene for polymerase Pb2, genomic RNA, strain A/Hong Kong/1073/99(H9N2)"
NC_026434.1,1410,N1
NC_007361.1,1458,N1
NC_002018.1,1413,N1
CY103894.1,1390,N10
CY125947.1,1426,N11
NC_007368.1,1467,N2
NC_007382.1,1410,N2
NC_004909.1,1418,N2
KX879567.1,1425,N3
CY195907.1,1438,N4
AB270598.1,925,N5
GU053446.1,1439,N6
KX024585.1,1436,N7
CY098526.1,1413,N8
NC_026429.1,1398,N9
