rname,totallength,reference,ani_group
KJ413903.1,1701,H3 (KJ413903.1),16
KJ413907.1,1701,H3 (KJ413907.1),16
KJ413908.1,1701,H3 (KJ413908.1),16
KJ413911.1,1701,H3 (KJ413911.1),16
KJ413913.1,1701,H3 (KJ413913.1),16
KJ623709.1,1761,H3 (KJ623709.1),16
KJ907511.1,1701,H3 (KJ907511.1),16
KJ907727.1,1701,H3 (KJ907727.1),16
KJ942592.1,1751,H3 (KJ942592.1),16
KJ942608.1,1751,H3 (KJ942608.1),16
KJ942616.1,1749,H3 (KJ942616.1),16
KJ942624.1,1757,H3 (KJ942624.1),16
KJ942680.1,1751,H3 (KJ942680.1),16
KJ942688.1,1756,H3 (KJ942688.1),16
KJ942704.1,1762,H3 (KJ942704.1),16
KJ942792.1,1751,H3 (KJ942792.1),16
KJ942911.1,1731,H3 (KJ942911.1),16
KJ942919.1,1731,H3 (KJ942919.1),16
KJ942935.1,1737,H3 (KJ942935.1),16
KJ942943.1,1737,H3 (KJ942943.1),16
KJ942951.1,1731,H3 (KJ942951.1),16
KJ942959.1,1737,H3 (KJ942959.1),16
KJ942975.1,1731,H3 (KJ942975.1),16
KJ942983.1,1725,H3 (KJ942983.1),16
KJ942991.1,1737,H3 (KJ942991.1),16
KJ943007.1,1737,H3 (KJ943007.1),16
KJ943018.1,1731,H3 (KJ943018.1),16
KJ943026.1,1737,H3 (KJ943026.1),16
KJ943058.1,1737,H3 (KJ943058.1),16
KJ943066.1,1731,H3 (KJ943066.1),16
KJ943074.1,1737,H3 (KJ943074.1),16
KJ943093.1,1732,H3 (KJ943093.1),16
KJ943101.1,1737,H3 (KJ943101.1),16
KJ943109.1,1731,H3 (KJ943109.1),16
KJ943125.1,1737,H3 (KJ943125.1),16
KJ943138.1,1731,H3 (KJ943138.1),16
KJ943146.1,1731,H3 (KJ943146.1),16
KJ943154.1,1737,H3 (KJ943154.1),16
KJ943162.1,1737,H3 (KJ943162.1),16
KJ943183.1,1731,H3 (KJ943183.1),16
KJ943191.1,1737,H3 (KJ943191.1),16
KJ943216.1,1737,H3 (KJ943216.1),16
KJ943240.1,1732,H3 (KJ943240.1),16
KJ943248.1,1731,H3 (KJ943248.1),16
KJ943557.1,1737,H3 (KJ943557.1),16
KJ943565.1,1737,H3 (KJ943565.1),16
KJ943573.1,1737,H3 (KJ943573.1),16
KJ943581.1,1734,H3 (KJ943581.1),16
KJ943589.1,1734,H3 (KJ943589.1),16
KJ943597.1,1737,H3 (KJ943597.1),16
KJ943609.1,1734,H3 (KJ943609.1),16
KJ943618.1,1737,H3 (KJ943618.1),16
KJ943626.1,1737,H3 (KJ943626.1),16
KJ943634.1,1737,H3 (KJ943634.1),16
KJ943642.1,1731,H3 (KJ943642.1),16
KJ943650.1,1737,H3 (KJ943650.1),16
KJ943664.1,1731,H3 (KJ943664.1),16
KJ943678.1,1737,H3 (KJ943678.1),16
KJ943686.1,1734,H3 (KJ943686.1),16
KJ943699.1,1731,H3 (KJ943699.1),16
KJ943712.1,1731,H3 (KJ943712.1),16
KJ943720.1,1737,H3 (KJ943720.1),16
KJ943729.1,1731,H3 (KJ943729.1),16
KJ943737.1,1731,H3 (KJ943737.1),16
KJ943751.1,1737,H3 (KJ943751.1),16
KJ943759.1,1731,H3 (KJ943759.1),16
KJ943767.1,1737,H3 (KJ943767.1),16
KJ943775.1,1731,H3 (KJ943775.1),16
KJ943783.1,1734,H3 (KJ943783.1),16
KM061010.1,1701,H3 (KM061010.1),16
KM061018.1,1701,H3 (KM061018.1),16
KM507511.1,1754,H3 (KM507511.1),16
KR154321.1,1765,H3 (KR154321.1),16
KR154329.1,1765,H3 (KR154329.1),16
KT002536.1,1701,H3 (KT002536.1),16
KU888853.1,1762,H3 (KU888853.1),16
KX133410.1,1737,H3 (KX133410.1),16
KX509798.1,1701,H3 (KX509798.1),16
KX509799.1,1701,H3 (KX509799.1),16
MF673163.1,1745,H3 (MF673163.1),16
MG198920.1,1701,H3 (MG198920.1),16
NC_007366.1,1762,H3 (NC_007366.1),16
CY195905.1,1713,H4 (CY195905.1),51
AB818497.1,1745,H5 (AB818497.1),35
AB818505.1,1745,H5 (AB818505.1),35
AB822990.1,1745,H5 (AB822990.1),35
AB827991.1,1742,H5 (AB827991.1),35
FJ445226.1,1707,H5 (FJ445226.1),35
FJ445234.2,1707,H5 (FJ445234.2),35
FJ445242.2,1707,H5 (FJ445242.2),35
JN588805.1,1767,H5 (JN588805.1),35
JN588806.1,1750,H5 (JN588806.1),35
JN588807.1,1751,H5 (JN588807.1),35
JN588808.1,1767,H5 (JN588808.1),35
JN588813.1,1767,H5 (JN588813.1),35
JN588815.1,1752,H5 (JN588815.1),35
JN588816.1,1746,H5 (JN588816.1),35
JN588821.1,1747,H5 (JN588821.1),35
JN588822.1,1764,H5 (JN588822.1),35
JN588824.1,1759,H5 (JN588824.1),35
JQ714246.1,1754,H5 (JQ714246.1),35
JQ794446.1,1727,H5 (JQ794446.1),35
JQ794454.1,1738,H5 (JQ794454.1),35
JQ794462.1,1736,H5 (JQ794462.1),35
JQ794470.1,1727,H5 (JQ794470.1),35
JQ966928.1,1779,H5 (JQ966928.1),35
JX013485.1,1779,H5 (JX013485.1),35
JX094831.1,1776,H5 (JX094831.1),35
KC683522.1,1707,H5 (KC683522.1),35
KC683523.1,1704,H5 (KC683523.1),35
KF182741.1,1704,H5 (KF182741.1),35
KJ003987.1,1742,H5 (KJ003987.1),35
KJ683888.1,1704,H5 (KJ683888.1),35
KJ907599.1,1704,H5 (KJ907599.1),35
KJ907607.1,1704,H5 (KJ907607.1),35
KJ907615.1,1704,H5 (KJ907615.1),35
KJ907623.1,1704,H5 (KJ907623.1),35
KJ907631.1,1704,H5 (KJ907631.1),35
KJ907639.1,1704,H5 (KJ907639.1),35
KM213391.1,1767,H5 (KM213391.1),35
KM392379.1,1725,H5 (KM392379.1),35
KP739421.1,1744,H5 (KP739421.1),35
KR010411.1,1704,H5 (KR010411.1),35
KU057264.1,1729,H5 (KU057264.1),35
KU057272.1,1752,H5 (KU057272.1),35
KU057280.1,1707,H5 (KU057280.1),35
KU057288.1,1713,H5 (KU057288.1),35
KU057296.1,1713,H5 (KU057296.1),35
KU201856.1,1744,H5 (KU201856.1),35
KU201864.1,1744,H5 (KU201864.1),35
KX364460.1,1707,H5 (KX364460.1),35
KX364468.1,1707,H5 (KX364468.1),35
KX867865.1,1707,H5 (KX867865.1),35
KX867873.1,1704,H5 (KX867873.1),35
KY063732.1,1695,H5 (KY063732.1),35
KY063740.1,1743,H5 (KY063740.1),35
NC_007362.1,1760,H5 (NC_007362.1),35
PP599465.1,1776,H5 (PP599465.1),35
JX304754.1,1744,H6 (JX304754.1),52
DQ266094.1,1740,H7 (DQ266094.1),11
KC876683.1,1732,H7 (KC876683.1),11
KM244100.1,1683,H7 (KM244100.1),11
KU684462.1,1693,H7 (KU684462.1),11
KY550817.1,1703,H7 (KY550817.1),11
KY550857.1,1706,H7 (KY550857.1),11
KY550872.1,1700,H7 (KY550872.1),11
KY550983.1,1706,H7 (KY550983.1),11
KY551031.1,1706,H7 (KY551031.1),11
KY551039.1,1706,H7 (KY551039.1),11
KY551047.1,1706,H7 (KY551047.1),11
KY551055.1,1706,H7 (KY551055.1),11
KY551159.1,1699,H7 (KY551159.1),11
KY551167.1,1699,H7 (KY551167.1),11
KY551316.1,1699,H7 (KY551316.1),11
KY551355.1,1699,H7 (KY551355.1),11
KY551363.1,1703,H7 (KY551363.1),11
KY575228.1,1683,H7 (KY575228.1),11
NC_026425.1,1708,H7 (NC_026425.1),11
OL782158.1,1758,H7 (OL782158.1),11
CY098524.1,1701,H8 (CY098524.1),53
NC_004908.1,1714,H9 (NC_004908.1),41
PP599462.1,2341,"Influenza A virus (A/Bovine/texas/24-029328-01/2024(H5N1)) segment 1 polymerase PB2 (PB2) gene, complete cds",71
PP599463.1,2341,"Influenza A virus (A/Bovine/texas/24-029328-01/2024(H5N1)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",72
PP599464.1,2233,"Influenza A virus (A/Bovine/texas/24-029328-01/2024(H5N1)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",73
PP599466.1,1565,"Influenza A virus (A/Bovine/texas/24-029328-01/2024(H5N1)) segment 5 nucleocapsid protein (NP) gene, complete cds",74
PP599468.1,1027,"Influenza A virus (A/Bovine/texas/24-029328-01/2024(H5N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",75
PP599469.1,890,"Influenza A virus (A/Bovine/texas/24-029328-01/2024(H5N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds",76
NC_026438.1,2280,"Influenza A virus (A/California/07/2009(H1N1)) segment 1 polymerase PB2 (PB2) gene, complete cds",7
NC_026435.1,2274,"Influenza A virus (A/California/07/2009(H1N1)) segment 2 polymerase PB1 (PB1) gene, complete cds; and nonfunctional PB1-F2 protein (PB1-F2) gene, complete sequence",4
NC_026437.1,2151,"Influenza A virus (A/California/07/2009(H1N1)) segment 3 polymerase PA (PA) gene, complete cds",6
NC_026436.1,1497,"Influenza A virus (A/California/07/2009(H1N1)) segment 5 nucleocapsid protein (NP) gene, complete cds",5
NC_026431.1,982,"Influenza A virus (A/California/07/2009(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",0
NC_026432.1,863,"Influenza A virus (A/California/07/2009(H1N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds",1
NC_007360.1,1565,"Influenza A virus (A/Goose/Guangdong/1/96(H5N1)) nucleocapsid protein (NP) gene, complete cds",34
NC_007357.1,2341,"Influenza A virus (A/Goose/Guangdong/1/96(H5N1)) polymerase (PB2) gene, complete cds",31
NC_004905.2,1557,"Influenza A virus (A/Hong Kong/1073/99(H9N2)) segment 5, complete sequence",39
NC_004907.1,1025,"Influenza A virus (A/Hong Kong/1073/99(H9N2)) segment 7, complete sequence",38
NC_004906.1,890,"Influenza A virus (A/Hong Kong/1073/99(H9N2)) segment 8, complete sequence",40
NC_007378.1,2341,"Influenza A virus (A/Korea/426/1968(H2N2)) segment 1, complete sequence",28
NC_007375.1,2341,"Influenza A virus (A/Korea/426/1968(H2N2)) segment 2, complete sequence",25
NC_007376.1,2233,"Influenza A virus (A/Korea/426/1968(H2N2)) segment 3, complete sequence",26
NC_007381.1,1497,"Influenza A virus (A/Korea/426/1968(H2N2)) segment 5, complete sequence",30
NC_007377.1,1027,"Influenza A virus (A/Korea/426/1968(H2N2)) segment 7, complete sequence",27
NC_007380.1,838,"Influenza A virus (A/Korea/426/1968(H2N2)) segment 8, complete sequence",29
NC_007373.1,2341,"Influenza A virus (A/New York/392/2004(H3N2)) segment 1, complete sequence",23
NC_007372.1,2341,"Influenza A virus (A/New York/392/2004(H3N2)) segment 2, complete sequence",22
NC_007371.1,2233,"Influenza A virus (A/New York/392/2004(H3N2)) segment 3, complete sequence",21
NC_007369.1,1566,"Influenza A virus (A/New York/392/2004(H3N2)) segment 5, complete sequence",19
NC_007367.1,1027,"Influenza A virus (A/New York/392/2004(H3N2)) segment 7, complete sequence",17
NC_007370.1,890,"Influenza A virus (A/New York/392/2004(H3N2)) segment 8, complete sequence",20
NC_002023.1,2341,"Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 1, complete sequence",49
NC_002021.1,2341,"Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 2, complete sequence",47
NC_002022.1,2233,"Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 3, complete sequence",48
NC_002019.1,1565,"Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 5, complete sequence",45
NC_002016.1,1027,"Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 7, complete sequence",50
NC_002020.1,890,"Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 8, complete sequence",46
NC_026422.1,2280,"Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 1 polymerase PB2 (PB2) gene, complete cds",8
NC_026423.1,2297,"Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",9
NC_026424.1,2176,"Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",10
NC_026426.1,1506,"Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 5 nucleocapsid protein (NP) gene, complete cds",12
NC_026427.1,985,"Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",13
NC_026428.1,841,"Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds",14
OL782155.1,2341,"Influenza A virus (A/Turkey/South Carolina/20-010561-006/2020(H7N3)) segment 1 polymerase PB2 (PB2) gene, complete cds",77
OL782156.1,2341,"Influenza A virus (A/Turkey/South Carolina/20-010561-006/2020(H7N3)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",78
OL782157.1,2233,"Influenza A virus (A/Turkey/South Carolina/20-010561-006/2020(H7N3)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",79
OL782159.1,1565,"Influenza A virus (A/Turkey/South Carolina/20-010561-006/2020(H7N3)) segment 5 nucleocapsid protein (NP) gene, complete cds",80
OL782161.1,1027,"Influenza A virus (A/Turkey/South Carolina/20-010561-006/2020(H7N3)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",81
OL782162.1,890,"Influenza A virus (A/Turkey/South Carolina/20-010561-006/2020(H7N3)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds",82
NC_007359.1,2233,"Influenza A virus (A/goose/Guangdong/1/1996(H5N1)) polymerase (PA) and PA-X protein (PA-X) genes, complete cds",33
NC_007358.1,2341,"Influenza A virus (A/goose/Guangdong/1/1996(H5N1)) polymerase (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",32
NC_007363.1,1027,"Influenza A virus (A/goose/Guangdong/1/1996(H5N1)) segment 7, complete sequence",36
NC_007364.1,865,"Influenza A virus (A/goose/Guangdong/1/1996(H5N1)) segment 8, complete sequence",37
DQ266100.1,1027,"Influenza A virus (A/seal/Mass/1-SC35M/1980(H7N7)) M2 and M1 genes, complete cds",93
DQ266101.1,890,"Influenza A virus (A/seal/Mass/1-SC35M/1980(H7N7)) NEP/NS2 and NS1 genes, complete cds",94
DQ266096.1,1565,"Influenza A virus (A/seal/Mass/1-SC35M/1980(H7N7)) nucleoprotein gene, complete cds",89
DQ266099.1,2233,"Influenza A virus (A/seal/Mass/1-SC35M/1980(H7N7)) polymerase subunit PA gene, complete cds",92
DQ266098.1,2341,"Influenza A virus (A/seal/Mass/1-SC35M/1980(H7N7)) polymerase subunit PB1 gene, complete cds",91
DQ266097.1,2341,"Influenza A virus (A/seal/Mass/1-SC35M/1980(H7N7)) polymerase subunit PB2 gene, complete cds",90
CY195063.1,1003,"Influenza A virus (A/swine/Manitoba/D0301/2013(H1N2)) matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",83
CY195066.1,851,"Influenza A virus (A/swine/Manitoba/D0301/2013(H1N2)) nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds",85
CY195065.1,1540,"Influenza A virus (A/swine/Manitoba/D0301/2013(H1N2)) nucleocapsid protein (NP) gene, complete cds",84
CY195067.1,2205,"Influenza A virus (A/swine/Manitoba/D0301/2013(H1N2)) polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",86
CY195068.1,2316,"Influenza A virus (A/swine/Manitoba/D0301/2013(H1N2)) polymerase PB1 (PB1) gene, complete cds; and PB1-F2 gene, complete sequence",87
CY195069.1,2280,"Influenza A virus (A/swine/Manitoba/D0301/2013(H1N2)) polymerase PB2 (PB2) gene, complete cds",88
NC_004912.1,2225,"Influenza A virus pa gene for polymerase PA, genomic RNA, strain A/Hong Kong/1073/99(H9N2)",44
NC_004911.1,2328,"Influenza A virus pb1 gene for polymerase Pb1, genomic RNA, strain A/Hong Kong/1073/99(H9N2)",43
NC_004910.1,2341,"Influenza A virus pb2 gene for polymerase Pb2, genomic RNA, strain A/Hong Kong/1073/99(H9N2)",42
JX094832.1,1398,N1 (JX094832.1),3
KJ907601.1,1350,N1 (KJ907601.1),3
KJ907609.1,1350,N1 (KJ907609.1),3
KJ907625.1,1350,N1 (KJ907625.1),3
KM244078.1,1410,N1 (KM244078.1),3
KU057266.1,1360,N1 (KU057266.1),3
KX867867.1,1350,N1 (KX867867.1),3
MG572190.1,1461,N1 (MG572190.1),3
MG770146.1,1410,N1 (MG770146.1),3
NC_002018.1,1413,N1 (NC_002018.1),3
NC_007361.1,1458,N1 (NC_007361.1),3
NC_026434.1,1410,N1 (NC_026434.1),3
PP599467.1,1458,N1 (PP599467.1),3
CY103894.1,1390,N10 (CY103894.1),69
CY125947.1,1426,N11 (CY125947.1),70
CY195064.1,1410,N2 (CY195064.1),18
KJ907513.1,1410,N2 (KJ907513.1),18
KM507513.1,1468,N2 (KM507513.1),18
KX509796.1,1410,N2 (KX509796.1),18
NC_004909.1,1418,N2 (NC_004909.1),18
