assembly_accession,rname,length,totallength,ani_group,reference
GCF_002086635.1,NZ_MVHD01000134.1,870,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000135.1,724,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000136.1,718,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000137.1,698,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000138.1,642,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000139.1,642,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000140.1,615,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000141.1,594,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000142.1,556,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000143.1,456,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000144.1,394,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000145.1,380,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000146.1,374,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000147.1,369,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000148.1,359,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000149.1,347,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000150.1,344,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000151.1,334,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000152.1,334,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000153.1,302,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000154.1,290,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000155.1,263,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000156.1,257,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000157.1,235,5692845,119,M.alsense
