reference,assembly_accession,species_taxid,taxid,organism_name,strain,bioproject,biosample,assembly_level,genome_size,contig_count,taxonomy,download
M.angelicum,GCF_025822405.1,470074,470074,Mycobacterium angelicum,strain=DSM 45057,PRJNA224116,SAMN15568962,Scaffold,6673995.0,65.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium angelicum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/822/405/GCF_025822405.1_ASM2582240v1/GCF_025822405.1_ASM2582240v1_genomic.fna.gz ./GCF_025822405.1_genomic.fna.gz
M.anyangense,GCF_010731855.1,1431246,1431246,Mycolicibacterium anyangense,strain=JCM 30275,PRJNA224116,SAMD00153216,Complete Genome,5696751.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium anyangense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/855/GCF_010731855.1_ASM1073185v1/GCF_010731855.1_ASM1073185v1_genomic.fna.gz ./GCF_010731855.1_genomic.fna.gz
M.appelbergii,GCF_032883035.1,2939269,2939269,[Mycobacterium] appelbergii,strain=21AC1,PRJNA224116,SAMN27915968,Contig,7633300.0,30.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__[Mycobacterium] appelbergii,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/032/883/035/GCF_032883035.1_ASM3288303v1/GCF_032883035.1_ASM3288303v1_genomic.fna.gz ./GCF_032883035.1_genomic.fna.gz
M.aquaticum,GCF_002086485.1,1927124,1927124,Mycobacterium aquaticum,strain=RW6,PRJNA224116,SAMN06064228,Contig,7927592.0,111.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium aquaticum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/086/485/GCF_002086485.1_ASM208648v1/GCF_002086485.1_ASM208648v1_genomic.fna.gz ./GCF_002086485.1_genomic.fna.gz
M.arabiense,GCF_010731815.2,1286181,1286181,Mycolicibacterium arabiense,strain=JCM 18538,PRJNA224116,SAMD00153213,Complete Genome,6451210.0,2.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium arabiense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/815/GCF_010731815.2_ASM1073181v2/GCF_010731815.2_ASM1073181v2_genomic.fna.gz ./GCF_010731815.2_genomic.fna.gz
M.arenosum,GCF_024320865.1,2952157,2952157,Mycolicibacterium arenosum,strain=CAU 1645,PRJNA224116,SAMN28907230,Scaffold,6822461.0,35.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium arenosum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/320/865/GCF_024320865.1_ASM2432086v1/GCF_024320865.1_ASM2432086v1_genomic.fna.gz ./GCF_024320865.1_genomic.fna.gz
M.aromaticivorans,GCF_000559085.1,318425,1440774,Mycolicibacterium aromaticivorans JS19b1 = JCM 16368,strain=JS19b1,PRJNA224116,SAMN02585141,Contig,6297623.0,6.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium aromaticivorans;x__Mycolicibacterium aromaticivorans JS19b1 = JCM 16368,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/559/085/GCF_000559085.1_ASM55908v2/GCF_000559085.1_ASM55908v2_genomic.fna.gz ./GCF_000559085.1_genomic.fna.gz
M.arosiense,GCF_002086125.1,425468,1265311,Mycobacterium arosiense ATCC BAA-1401 = DSM 45069,strain=DSM 45069,PRJNA224116,SAMN06064229,Contig,5980206.0,465.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;x__Mycobacterium avium complex (MAC);s__Mycobacterium arosiense;x__Mycobacterium arosiense ATCC BAA-1401 = DSM 45069,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/086/125/GCF_002086125.1_ASM208612v1/GCF_002086125.1_ASM208612v1_genomic.fna.gz ./GCF_002086125.1_genomic.fna.gz
M.arseniciresistens,GCF_030519285.1,3062257,3062257,Mycolicibacterium arseniciresistens,strain=KC 300,PRJNA224116,SAMN36451562,Contig,6212204.0,602.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium arseniciresistens,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/519/285/GCF_030519285.1_ASM3051928v1/GCF_030519285.1_ASM3051928v1_genomic.fna.gz ./GCF_030519285.1_genomic.fna.gz
M.arupensis,GCF_002086515.1,342002,342002,Mycolicibacter arupensis,strain=DSM 44942,PRJNA224116,SAMN06064230,Contig,4442590.0,157.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacter;s__Mycolicibacter arupensis,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/086/515/GCF_002086515.1_ASM208651v1/GCF_002086515.1_ASM208651v1_genomic.fna.gz ./GCF_002086515.1_genomic.fna.gz
M.asiaticum,GCF_002086545.1,1790,1265310,Mycobacterium asiaticum DSM 44297,strain=DSM 44297,PRJNA224116,SAMN06064231,Contig,5969538.0,135.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium asiaticum;x__Mycobacterium asiaticum DSM 44297,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/086/545/GCF_002086545.1_ASM208654v1/GCF_002086545.1_ASM208654v1_genomic.fna.gz ./GCF_002086545.1_genomic.fna.gz
M.attenuatum,GCF_900566085.1,2341086,2341086,Mycobacterium attenuatum,strain=MK41,PRJNA224116,SAMEA4938330,Contig,6527895.0,230.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium attenuatum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/566/085/GCF_900566085.1_LAUMK41/GCF_900566085.1_LAUMK41_genomic.fna.gz ./GCF_900566085.1_genomic.fna.gz
M.aubagnense,GCF_010730955.1,319707,319707,Mycolicibacterium aubagnense,strain=JCM 15296,PRJNA224116,SAMD00153195,Complete Genome,6321928.0,2.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium aubagnense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/730/955/GCF_010730955.1_ASM1073095v1/GCF_010730955.1_ASM1073095v1_genomic.fna.gz ./GCF_010730955.1_genomic.fna.gz
M.aurum,GCF_900637195.1,1791,1791,Mycolicibacterium aurum,strain=NCTC10437,PRJNA224116,SAMEA4364210,Complete Genome,6035584.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium aurum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/195/GCF_900637195.1_50279_F01/GCF_900637195.1_50279_F01_genomic.fna.gz ./GCF_900637195.1_genomic.fna.gz
M.austroafricanum,GCF_016919645.1,39687,39687,Mycolicibacterium austroafricanum,strain=MYC221,PRJNA224116,SAMN17841208,Chromosome,6287627.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium austroafricanum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/919/645/GCF_016919645.1_ASM1691964v1/GCF_016919645.1_ASM1691964v1_genomic.fna.gz ./GCF_016919645.1_genomic.fna.gz
M.avium,GCF_022175585.2,1764,439334,Mycobacterium avium subsp. hominissuis,strain=OCU889s_P11_4s,PRJNA224116,SAMN05862091,Complete Genome,5173839.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;x__Mycobacterium avium complex (MAC);s__Mycobacterium avium;x__Mycobacterium avium subsp. hominissuis,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/175/585/GCF_022175585.2_ASM2217558v2/GCF_022175585.2_ASM2217558v2_genomic.fna.gz ./GCF_022175585.2_genomic.fna.gz
M.bacteremicum,GCF_002086115.1,564198,564198,Mycolicibacterium bacteremicum,strain=DSM 45578,PRJNA224116,SAMN06064232,Contig,5952041.0,85.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium bacteremicum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/086/115/GCF_002086115.1_ASM208611v1/GCF_002086115.1_ASM208611v1_genomic.fna.gz ./GCF_002086115.1_genomic.fna.gz
M.baixiangningiae,GCF_016313185.1,2761578,2761578,Mycolicibacterium baixiangningiae,strain=LJ126,PRJNA224116,SAMN17013278,Complete Genome,6181092.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium baixiangningiae,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/313/185/GCF_016313185.1_ASM1631318v1/GCF_016313185.1_ASM1631318v1_genomic.fna.gz ./GCF_016313185.1_genomic.fna.gz
M.barrassiae,GCF_025822765.1,319709,319709,Mycobacterium barrassiae,strain=CCUG 50398,PRJNA224116,SAMN15568944,Scaffold,5900227.0,49.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium barrassiae,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/822/765/GCF_025822765.1_ASM2582276v1/GCF_025822765.1_ASM2582276v1_genomic.fna.gz ./GCF_025822765.1_genomic.fna.gz
M.basiliense,GCF_900292015.1,2094119,2094119,Mycobacterium basiliense,na,PRJNA224116,SAMEA104628733,Complete Genome,5607630.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium basiliense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/292/015/GCF_900292015.1_MB901379/GCF_900292015.1_MB901379_genomic.fna.gz ./GCF_900292015.1_genomic.fna.gz
M.boenickei,GCF_010731295.1,146017,146017,Mycolicibacterium boenickei,strain=JCM 15653,PRJNA224116,SAMD00153197,Complete Genome,6585921.0,2.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium boenickei,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/295/GCF_010731295.1_ASM1073129v1/GCF_010731295.1_ASM1073129v1_genomic.fna.gz ./GCF_010731295.1_genomic.fna.gz
M.bohemicum,GCF_002102025.1,56425,56425,Mycobacterium bohemicum,strain=DSM 44277,PRJNA224116,SAMN04216914,Contig,5420516.0,52.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium bohemicum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/102/025/GCF_002102025.1_ASM210202v1/GCF_002102025.1_ASM210202v1_genomic.fna.gz ./GCF_002102025.1_genomic.fna.gz
M.botniense,GCF_010723305.1,84962,84962,Mycobacterium botniense,strain=JCM 17322,PRJNA224116,SAMD00153205,Contig,4335050.0,4.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium botniense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/723/305/GCF_010723305.1_ASM1072330v1/GCF_010723305.1_ASM1072330v1_genomic.fna.gz ./GCF_010723305.1_genomic.fna.gz
M.bouchedurhonense,GCF_002086165.1,701041,701041,Mycobacterium bouchedurhonense,strain=DSM 45439,PRJNA224116,SAMN06064234,Contig,5897311.0,230.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;x__Mycobacterium avium complex (MAC);s__Mycobacterium bouchedurhonense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/086/165/GCF_002086165.1_ASM208616v1/GCF_002086165.1_ASM208616v1_genomic.fna.gz ./GCF_002086165.1_genomic.fna.gz
M.bourgelatii,GCF_010723575.1,1273442,1273442,Mycobacterium bourgelatii,strain=JCM 30725,PRJNA224116,SAMD00153222,Contig,6912804.0,2.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium bourgelatii,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/723/575/GCF_010723575.1_ASM1072357v1/GCF_010723575.1_ASM1072357v1_genomic.fna.gz ./GCF_010723575.1_genomic.fna.gz
M.branderi,GCF_010728725.1,43348,43348,Mycobacterium branderi,strain=JCM 12687,PRJNA224116,SAMD00153181,Complete Genome,5979623.0,2.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium branderi,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/728/725/GCF_010728725.1_ASM1072872v1/GCF_010728725.1_ASM1072872v1_genomic.fna.gz ./GCF_010728725.1_genomic.fna.gz
M.brisbanense,GCF_001570425.1,146020,146020,Mycolicibacterium brisbanense,strain=JCM15654,PRJNA224116,SAMD00041172,Scaffold,7387494.0,70.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium brisbanense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/570/425/GCF_001570425.1_ASM157042v1/GCF_001570425.1_ASM157042v1_genomic.fna.gz ./GCF_001570425.1_genomic.fna.gz
M.brumae,GCF_025215495.1,85968,85968,Mycolicibacterium brumae,strain=ATCC 51384,PRJNA224116,SAMN25131781,Complete Genome,3988920.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium brumae,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/215/495/GCF_025215495.1_ASM2521549v1/GCF_025215495.1_ASM2521549v1_genomic.fna.gz ./GCF_025215495.1_genomic.fna.gz
M.bulgaricum,GCF_041287165.2,3238985,3238985,[Mycobacterium] bulgaricum,strain=pW049,PRJNA224116,SAMN42688602,Contig,6070946.0,57.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__[Mycobacterium] bulgaricum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/287/165/GCF_041287165.2_ASM4128716v2/GCF_041287165.2_ASM4128716v2_genomic.fna.gz ./GCF_041287165.2_genomic.fna.gz
M.burgundiense,GCF_963378095.1,3064286,3064286,[Mycobacterium] burgundiense,strain=Mu0053,PRJNA224116,SAMEA114267543,Complete Genome,5453374.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__[Mycobacterium] burgundiense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/963/378/095/GCF_963378095.1_MU0053_Flye_MinION.2/GCF_963378095.1_MU0053_Flye_MinION.2_genomic.fna.gz ./GCF_963378095.1_genomic.fna.gz
M.canariasense,GCF_002101555.1,228230,228230,Mycolicibacterium canariasense,strain=CCUG 47953,PRJNA224116,SAMN04216915,Contig,6755573.0,113.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium canariasense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/101/555/GCF_002101555.1_ASM210155v1/GCF_002101555.1_ASM210155v1_genomic.fna.gz ./GCF_002101555.1_genomic.fna.gz
M.canetti,GCF_000253375.1,78331,1048245,Mycobacterium canettii CIPT 140010059,strain=CIPT 140010059,PRJNA224116,SAMEA2272660,Complete Genome,4482059.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;x__Mycobacterium tuberculosis complex;s__Mycobacterium canetti;x__Mycobacterium canettii CIPT 140010059,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/253/375/GCF_000253375.1_ASM25337v1/GCF_000253375.1_ASM25337v1_genomic.fna.gz ./GCF_000253375.1_genomic.fna.gz
M.celatum,GCF_002101595.1,28045,28045,Mycobacterium celatum,strain=DSM 44243,PRJNA224116,SAMN04216916,Contig,4720680.0,57.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium celatum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/101/595/GCF_002101595.1_ASM210159v1/GCF_002101595.1_ASM210159v1_genomic.fna.gz ./GCF_002101595.1_genomic.fna.gz
M.celeriflavum,GCF_010731795.1,1249101,1249101,Mycolicibacterium celeriflavum,strain=JCM 18439,PRJNA224116,SAMD00153212,Complete Genome,5024249.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium celeriflavum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/795/GCF_010731795.1_ASM1073179v1/GCF_010731795.1_ASM1073179v1_genomic.fna.gz ./GCF_010731795.1_genomic.fna.gz
M.chelonae,GCF_001632805.1,1774,1460372,Mycobacteroides chelonae CCUG 47445,strain=CCUG 47445,PRJNA224116,SAMN02630629,Complete Genome,5029817.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacteroides;s__Mycobacteroides chelonae;x__Mycobacteroides chelonae CCUG 47445,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/632/805/GCF_001632805.1_ASM163280v1/GCF_001632805.1_ASM163280v1_genomic.fna.gz ./GCF_001632805.1_genomic.fna.gz
M.chitae,GCF_900637205.1,1792,1792,Mycolicibacterium chitae,strain=NCTC10485,PRJNA224116,SAMEA4364211,Complete Genome,5461769.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium chitae,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/205/GCF_900637205.1_50279_G01/GCF_900637205.1_50279_G01_genomic.fna.gz ./GCF_900637205.1_genomic.fna.gz
M.chlorophenolicum,GCF_001552315.1,37916,1303685,Mycolicibacterium chlorophenolicum JCM 7439 = NBRC 15527,strain=NBRC 15527,PRJNA224116,SAMD00046518,Contig,7330216.0,107.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium chlorophenolicum;x__Mycolicibacterium chlorophenolicum JCM 7439 = NBRC 15527,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/552/315/GCF_001552315.1_ASM155231v1/GCF_001552315.1_ASM155231v1_genomic.fna.gz ./GCF_001552315.1_genomic.fna.gz
M.chubuense,GCF_900453455.1,1800,1800,Mycolicibacterium chubuense,strain=NCTC10819,PRJNA224116,SAMEA4535747,Contig,6021188.0,18.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium chubuense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/453/455/GCF_900453455.1_52223_C01/GCF_900453455.1_52223_C01_genomic.fna.gz ./GCF_900453455.1_genomic.fna.gz
